threshold,precision,recall,f1,accuracy
0.05,0.5677491601343785,1.0,0.7242857142857143,0.5677491601343785
0.06,0.5679012345679012,0.9980276134122288,0.7238912732474964,0.5677491601343785
0.07,0.5679012345679012,0.9980276134122288,0.7238912732474964,0.5677491601343785
0.08,0.5706214689265536,0.9960552268244576,0.7255747126436781,0.5722284434490481
0.09,0.5706214689265536,0.9960552268244576,0.7255747126436781,0.5722284434490481
0.1,0.5706214689265536,0.9960552268244576,0.7255747126436781,0.5722284434490481
0.11,0.5706214689265536,0.9960552268244576,0.7255747126436781,0.5722284434490481
0.12,0.5706214689265536,0.9960552268244576,0.7255747126436781,0.5722284434490481
0.13,0.5787037037037037,0.9861932938856016,0.7293946024799416,0.5845464725643897
0.14,0.5787037037037037,0.9861932938856016,0.7293946024799416,0.5845464725643897
0.15,0.5787037037037037,0.9861932938856016,0.7293946024799416,0.5845464725643897
0.16,0.5787037037037037,0.9861932938856016,0.7293946024799416,0.5845464725643897
0.17,0.580046403712297,0.9861932938856016,0.7304601899196494,0.5867861142217246
0.18,0.580046403712297,0.9861932938856016,0.7304601899196494,0.5867861142217246
0.19,0.580046403712297,0.9861932938856016,0.7304601899196494,0.5867861142217246
0.2,0.580046403712297,0.9861932938856016,0.7304601899196494,0.5867861142217246
0.21,0.580046403712297,0.9861932938856016,0.7304601899196494,0.5867861142217246
0.22,0.580046403712297,0.9861932938856016,0.7304601899196494,0.5867861142217246
0.23,0.5834305717619603,0.9861932938856016,0.7331378299120235,0.5923852183650616
0.24,0.5834305717619603,0.9861932938856016,0.7331378299120235,0.5923852183650616
0.25,0.58698224852071,0.9783037475345168,0.7337278106508875,0.5968645016797313
0.26,0.58698224852071,0.9783037475345168,0.7337278106508875,0.5968645016797313
0.27,0.58698224852071,0.9783037475345168,0.7337278106508875,0.5968645016797313
0.28,0.5859188544152745,0.9684418145956607,0.7301115241635688,0.593505039193729
0.29,0.6050314465408805,0.9487179487179487,0.7388632872503841,0.6192609182530795
0.3,0.6050314465408805,0.9487179487179487,0.7388632872503841,0.6192609182530795
0.31,0.6050314465408805,0.9487179487179487,0.7388632872503841,0.6192609182530795
0.32,0.6050314465408805,0.9487179487179487,0.7388632872503841,0.6192609182530795
0.33,0.6050314465408805,0.9487179487179487,0.7388632872503841,0.6192609182530795
0.34,0.6050314465408805,0.9487179487179487,0.7388632872503841,0.6192609182530795
0.35,0.6050314465408805,0.9487179487179487,0.7388632872503841,0.6192609182530795
0.36,0.6050314465408805,0.9487179487179487,0.7388632872503841,0.6192609182530795
0.37,0.6050314465408805,0.9487179487179487,0.7388632872503841,0.6192609182530795
0.38,0.6050314465408805,0.9487179487179487,0.7388632872503841,0.6192609182530795
0.39,0.6050314465408805,0.9487179487179487,0.7388632872503841,0.6192609182530795
0.4,0.6050314465408805,0.9487179487179487,0.7388632872503841,0.6192609182530795
0.41,0.6050314465408805,0.9487179487179487,0.7388632872503841,0.6192609182530795
0.42,0.6050314465408805,0.9487179487179487,0.7388632872503841,0.6192609182530795
0.43,0.6050314465408805,0.9487179487179487,0.7388632872503841,0.6192609182530795
0.44,0.6050314465408805,0.9487179487179487,0.7388632872503841,0.6192609182530795
0.45,0.6050314465408805,0.9487179487179487,0.7388632872503841,0.6192609182530795
0.46,0.6050314465408805,0.9487179487179487,0.7388632872503841,0.6192609182530795
0.47,0.6060991105463787,0.9408284023668639,0.7372488408037093,0.6192609182530795
0.48,0.9305555555555556,0.26429980276134124,0.41167434715821816,0.5711086226203808
